MODEL INFORMATION,,,,,
Model Type,Hybrid LSTM + Random Forest,,,,
Random Forest Trees,300,,,,
LSTM Architecture,LSTM(64) → Dense(32) → Dense(16) → Dense(1),,,,
R² Score,0.9349,,,,
MAE,5,,,,
RMSE,8,,,,
Accuracy,93.49%,,,,
Total Historical Predictions,57,,,,
Future Forecast Periods,4 weeks/months,,,,
Historical Date Range,2016-05 to 2021-01,,,,
Forecast Start Date,2021-02,,,,
Data Period,2016-2021,,,,
,,,,,
HISTORICAL PREDICTIONS (Hybrid LSTM + Random Forest),,,,,
Month,Actual Cases,Predicted Cases,Difference,Error Percentage,Model Used
2016-05,13,14,1,5%,Hybrid LSTM + RF
2016-06,22,19,2,11%,Hybrid LSTM + RF
2016-07,48,44,3,7%,Hybrid LSTM + RF
2016-08,72,74,2,3%,Hybrid LSTM + RF
2016-09,54,56,2,4%,Hybrid LSTM + RF
2016-10,35,42,7,20%,Hybrid LSTM + RF
2016-11,36,33,3,9%,Hybrid LSTM + RF
2016-12,27,26,1,2%,Hybrid LSTM + RF
2017-01,25,24,1,3%,Hybrid LSTM + RF
2017-02,20,21,1,7%,Hybrid LSTM + RF
2017-03,15,14,1,8%,Hybrid LSTM + RF
2017-04,10,12,2,20%,Hybrid LSTM + RF
2017-05,10,11,1,15%,Hybrid LSTM + RF
2017-06,15,13,2,11%,Hybrid LSTM + RF
2017-07,29,24,5,18%,Hybrid LSTM + RF
2017-08,50,48,2,4%,Hybrid LSTM + RF
2017-09,35,48,13,36%,Hybrid LSTM + RF
2017-10,24,26,1,6%,Hybrid LSTM + RF
2017-11,27,25,2,7%,Hybrid LSTM + RF
2017-12,21,21,0,2%,Hybrid LSTM + RF
2018-01,25,22,3,12%,Hybrid LSTM + RF
2018-02,21,27,7,32%,Hybrid LSTM + RF
2018-03,16,19,3,20%,Hybrid LSTM + RF
2018-04,11,12,2,14%,Hybrid LSTM + RF
2018-05,13,12,1,8%,Hybrid LSTM + RF
2018-06,23,21,2,9%,Hybrid LSTM + RF
2018-07,48,47,2,3%,Hybrid LSTM + RF
2018-08,68,68,0,0%,Hybrid LSTM + RF
2018-09,61,59,3,4%,Hybrid LSTM + RF
2018-10,60,55,4,7%,Hybrid LSTM + RF
2018-11,60,55,4,8%,Hybrid LSTM + RF
2018-12,50,51,1,3%,Hybrid LSTM + RF
2019-01,55,50,5,9%,Hybrid LSTM + RF
2019-02,51,47,4,7%,Hybrid LSTM + RF
2019-03,31,38,6,20%,Hybrid LSTM + RF
2019-04,18,22,4,19%,Hybrid LSTM + RF
2019-05,21,18,3,15%,Hybrid LSTM + RF
2019-06,41,31,10,25%,Hybrid LSTM + RF
2019-07,110,88,22,20%,Hybrid LSTM + RF
2019-08,169,126,43,26%,Hybrid LSTM + RF
2019-09,142,129,13,9%,Hybrid LSTM + RF
2019-10,92,106,14,15%,Hybrid LSTM + RF
2019-11,60,77,17,29%,Hybrid LSTM + RF
2019-12,39,47,8,20%,Hybrid LSTM + RF
2020-01,36,39,3,8%,Hybrid LSTM + RF
2020-02,39,34,5,12%,Hybrid LSTM + RF
2020-03,20,27,6,32%,Hybrid LSTM + RF
2020-04,6,11,6,101%,Hybrid LSTM + RF
2020-05,4,7,3,83%,Hybrid LSTM + RF
2020-06,5,8,2,45%,Hybrid LSTM + RF
2020-07,9,10,1,8%,Hybrid LSTM + RF
2020-08,11,11,0,3%,Hybrid LSTM + RF
2020-09,10,10,0,2%,Hybrid LSTM + RF
2020-10,8,9,1,18%,Hybrid LSTM + RF
2020-11,10,11,1,7%,Hybrid LSTM + RF
2020-12,12,11,1,5%,Hybrid LSTM + RF
2021-01,8,10,2,19%,Hybrid LSTM + RF
,,,,,
4-WEEK FUTURE FORECAST (Hybrid LSTM),,,,,
Forecast Period,Predicted Cases,Confidence Level,Model Used,,
2021-02,8,High,Hybrid LSTM,,
2021-03,9,Medium-High,Hybrid LSTM,,
2021-04,12,Medium,Hybrid LSTM,,
2021-05,12,Low-Medium,Hybrid LSTM,,
,,,,,
SUMMARY STATISTICS,,,,,
Average Monthly Cases,36,,,,
Total Forecasted Cases (Next 4 weeks),41,,,,
Average Forecasted Cases,10,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FEATURE IMPORTANCE (Hybrid Model),,,,,
Feature,Importance Score,Description,,,
cases_t-1,0.8493,Cases from 1 month(s) ago,,,
cases_t-2,0.0834,Cases from 2 month(s) ago,,,
cases_t-3,0.04,Cases from 3 month(s) ago,,,
cases_t-4,0.0274,Cases from 4 month(s) ago,,,
